prob,group,measure,solver,performance
1000-101,sophisticated-eax,PAR10,ann_1_nng,3.1878
1000-101,sophisticated-eax,PQR10,ann_1_nng,3.2305
1000-12,sophisticated-eax,PAR10,ann_1_nng,3.7405
1000-12,sophisticated-eax,PQR10,ann_1_nng,3.295
1000-120,sophisticated-eax,PAR10,ann_1_nng,3.708
1000-120,sophisticated-eax,PQR10,ann_1_nng,3.071
1000-125,sophisticated-eax,PAR10,ann_1_nng,3.167
1000-125,sophisticated-eax,PQR10,ann_1_nng,3.165
1000-129,sophisticated-eax,PAR10,ann_1_nng,3.4367
1000-129,sophisticated-eax,PQR10,ann_1_nng,3.4665
1000-136,sophisticated-eax,PAR10,ann_1_nng,3.4891
1000-136,sophisticated-eax,PQR10,ann_1_nng,3.479
1000-138,sophisticated-eax,PAR10,ann_1_nng,3.3231
1000-138,sophisticated-eax,PQR10,ann_1_nng,3.259
1000-143,sophisticated-eax,PAR10,ann_1_nng,147.2138
1000-143,sophisticated-eax,PQR10,ann_1_nng,3.7265
1000-153,sophisticated-eax,PAR10,ann_1_nng,3.2332
1000-153,sophisticated-eax,PQR10,ann_1_nng,3.2675
1000-155,sophisticated-eax,PAR10,ann_1_nng,3.5787
1000-155,sophisticated-eax,PQR10,ann_1_nng,3.225
1000-185,sophisticated-eax,PAR10,ann_1_nng,3.3943
1000-185,sophisticated-eax,PQR10,ann_1_nng,3.4355
1000-193,sophisticated-eax,PAR10,ann_1_nng,2.7498
1000-193,sophisticated-eax,PQR10,ann_1_nng,2.752
1000-215,sophisticated-eax,PAR10,ann_1_nng,2.9587
1000-215,sophisticated-eax,PQR10,ann_1_nng,2.9605
1000-226,sophisticated-eax,PAR10,ann_1_nng,6.4136
1000-226,sophisticated-eax,PQR10,ann_1_nng,4.7485
1000-23,sophisticated-eax,PAR10,ann_1_nng,3.6482
1000-23,sophisticated-eax,PQR10,ann_1_nng,3.643
1000-26,sophisticated-eax,PAR10,ann_1_nng,3.1251
1000-26,sophisticated-eax,PQR10,ann_1_nng,3.1235
1000-265,sophisticated-eax,PAR10,ann_1_nng,4.6386
1000-265,sophisticated-eax,PQR10,ann_1_nng,3.04
1000-268,sophisticated-eax,PAR10,ann_1_nng,3.3832
