prob,group,measure,solver,performance
1000-106,sophisticated-eax,PAR10,ann_1_nng,3.5777
1000-106,sophisticated-eax,PQR10,ann_1_nng,3.5315
1000-107,sophisticated-eax,PAR10,ann_1_nng,2.9685
1000-107,sophisticated-eax,PQR10,ann_1_nng,2.9995
1000-115,sophisticated-eax,PAR10,ann_1_nng,3.519
1000-115,sophisticated-eax,PQR10,ann_1_nng,3.533
1000-130,sophisticated-eax,PAR10,ann_1_nng,6.3573
1000-130,sophisticated-eax,PQR10,ann_1_nng,3.9615
1000-14,sophisticated-eax,PAR10,ann_1_nng,3.2199
1000-14,sophisticated-eax,PQR10,ann_1_nng,3.2395
1000-140,sophisticated-eax,PAR10,ann_1_nng,3.4052
1000-140,sophisticated-eax,PQR10,ann_1_nng,3.3675
1000-179,sophisticated-eax,PAR10,ann_1_nng,3.7813
1000-179,sophisticated-eax,PQR10,ann_1_nng,3.309
1000-191,sophisticated-eax,PAR10,ann_1_nng,3.0099
1000-191,sophisticated-eax,PQR10,ann_1_nng,3.008
1000-194,sophisticated-eax,PAR10,ann_1_nng,3.3083
1000-194,sophisticated-eax,PQR10,ann_1_nng,3.425
1000-20,sophisticated-eax,PAR10,ann_1_nng,2.9586
1000-20,sophisticated-eax,PQR10,ann_1_nng,2.973
1000-206,sophisticated-eax,PAR10,ann_1_nng,3.301
1000-206,sophisticated-eax,PQR10,ann_1_nng,3.422
1000-208,sophisticated-eax,PAR10,ann_1_nng,3.4552
1000-208,sophisticated-eax,PQR10,ann_1_nng,3.517
1000-209,sophisticated-eax,PAR10,ann_1_nng,3.0737
1000-209,sophisticated-eax,PQR10,ann_1_nng,3.0705
1000-229,sophisticated-eax,PAR10,ann_1_nng,3.1093
1000-229,sophisticated-eax,PQR10,ann_1_nng,3.197
1000-233,sophisticated-eax,PAR10,ann_1_nng,4.7786
1000-233,sophisticated-eax,PQR10,ann_1_nng,3.7725
1000-235,sophisticated-eax,PAR10,ann_1_nng,3.4338
1000-235,sophisticated-eax,PQR10,ann_1_nng,3.0785
1000-254,sophisticated-eax,PAR10,ann_1_nng,4.1685
1000-254,sophisticated-eax,PQR10,ann_1_nng,3.559
1000-263,sophisticated-eax,PAR10,ann_1_nng,3.7004
1000-263,sophisticated-eax,PQR10,ann_1_nng,3.307
1000-269,sophisticated-eax,PAR10,ann_1_nng,3.4569
1000-269,sophisticated-eax,PQR10,ann_1_nng,3.475
1000-27,sophisticated-eax,PAR10,ann_1_nng,3.5576
1000-27,sophisticated-eax,PQR10,ann_1_nng,3.525
1000-270,sophisticated-eax,PAR10,ann_1_nng,3.4053
1000-270,sophisticated-eax,PQR10,ann_1_nng,3.4465
1000-276,sophisticated-eax,PAR10,ann_1_nng,3.4121
1000-276,sophisticated-eax,PQR10,ann_1_nng,2.9185
