prob,group,measure,solver,performance
1000-112,sophisticated-eax,PAR10,ann_1_mst,3.459
1000-112,sophisticated-eax,PQR10,ann_1_mst,3.4415
1000-126,sophisticated-eax,PAR10,ann_1_mst,4.641
1000-126,sophisticated-eax,PQR10,ann_1_mst,270.3865
1000-133,sophisticated-eax,PAR10,ann_1_mst,3.9995
1000-133,sophisticated-eax,PQR10,ann_1_mst,3.8805
1000-145,sophisticated-eax,PAR10,ann_1_mst,4.826
1000-145,sophisticated-eax,PQR10,ann_1_mst,3.3865
1000-168,sophisticated-eax,PAR10,ann_1_mst,3.3167
1000-168,sophisticated-eax,PQR10,ann_1_mst,3.31
1000-17,sophisticated-eax,PAR10,ann_1_mst,3.4315
1000-17,sophisticated-eax,PQR10,ann_1_mst,3.4685
1000-184,sophisticated-eax,PAR10,ann_1_mst,3.2081
1000-184,sophisticated-eax,PQR10,ann_1_mst,3.072
1000-195,sophisticated-eax,PAR10,ann_1_mst,3.3546
1000-195,sophisticated-eax,PQR10,ann_1_mst,3.373
1000-198,sophisticated-eax,PAR10,ann_1_mst,3.6036
1000-198,sophisticated-eax,PQR10,ann_1_mst,3.036
1000-199,sophisticated-eax,PAR10,ann_1_mst,2.7818
1000-199,sophisticated-eax,PQR10,ann_1_mst,2.8315
1000-200,sophisticated-eax,PAR10,ann_1_mst,3.2627
1000-200,sophisticated-eax,PQR10,ann_1_mst,3.2345
1000-210,sophisticated-eax,PAR10,ann_1_mst,2.9647
1000-210,sophisticated-eax,PQR10,ann_1_mst,2.985
1000-216,sophisticated-eax,PAR10,ann_1_mst,2.8645
1000-216,sophisticated-eax,PQR10,ann_1_mst,2.8495
1000-221,sophisticated-eax,PAR10,ann_1_mst,3.9354
1000-221,sophisticated-eax,PQR10,ann_1_mst,3.4
1000-227,sophisticated-eax,PAR10,ann_1_mst,4.1941
1000-227,sophisticated-eax,PQR10,ann_1_mst,300.181
1000-238,sophisticated-eax,PAR10,ann_1_mst,3.0129
1000-238,sophisticated-eax,PQR10,ann_1_mst,2.655
1000-246,sophisticated-eax,PAR10,ann_1_mst,3.5292
1000-246,sophisticated-eax,PQR10,ann_1_mst,3.505
1000-292,sophisticated-eax,PAR10,ann_1_mst,4.0233
1000-292,sophisticated-eax,PQR10,ann_1_mst,3.052
1000-294,sophisticated-eax,PAR10,ann_1_mst,2.412
1000-294,sophisticated-eax,PQR10,ann_1_mst,2.463
1000-31,sophisticated-eax,PAR10,ann_1_mst,3.0319
1000-31,sophisticated-eax,PQR10,ann_1_mst,3.019
1000-325,sophisticated-eax,PAR10,ann_1_mst,3.4273
1000-325,sophisticated-eax,PQR10,ann_1_mst,3.0325
1000-335,sophisticated-eax,PAR10,ann_1_mst,3.0629
1000-335,sophisticated-eax,PQR10,ann_1_mst,3.022
1000-355,sophisticated-eax,PAR10,ann_1_mst,4.7713
1000-355,sophisticated-eax,PQR10,ann_1_mst,4.1885
1000-367,sophisticated-eax,PAR10,ann_1_mst,3.1832
1000-367,sophisticated-eax,PQR10,ann_1_mst,3.2105
1000-368,sophisticated-eax,PAR10,ann_1_mst,5.8962
1000-368,sophisticated-eax,PQR10,ann_1_mst,41.7185
1000-371,sophisticated-eax,PAR10,ann_1_mst,3.0835
1000-371,sophisticated-eax,PQR10,ann_1_mst,3.1055
1000-389,sophisticated-eax,PAR10,ann_1_mst,5.3344
1000-389,sophisticated-eax,PQR10,ann_1_mst,3.969
1000-394,sophisticated-eax,PAR10,ann_1_mst,3.8568
1000-394,sophisticated-eax,PQR10,ann_1_mst,121.151
1000-398,sophisticated-eax,PAR10,ann_1_mst,2.4216
1000-398,sophisticated-eax,PQR10,ann_1_mst,2.387
1000-399,sophisticated-eax,PAR10,ann_1_mst,3.8225
1000-399,sophisticated-eax,PQR10,ann_1_mst,3.4785
1000-417,sophisticated-eax,PAR10,ann_1_mst,3.2992
1000-417,sophisticated-eax,PQR10,ann_1_mst,3.3415
1000-42,sophisticated-eax,PAR10,ann_1_mst,3.3868
1000-42,sophisticated-eax,PQR10,ann_1_mst,3.4235
1000-434,sophisticated-eax,PAR10,ann_1_mst,5.3682
1000-434,sophisticated-eax,PQR10,ann_1_mst,4.0775
1000-450,sophisticated-eax,PAR10,ann_1_mst,10.9053
1000-450,sophisticated-eax,PQR10,ann_1_mst,9.0195
1000-471,sophisticated-eax,PAR10,ann_1_mst,3.0164
1000-471,sophisticated-eax,PQR10,ann_1_mst,3.0455
1000-473,sophisticated-eax,PAR10,ann_1_mst,2.8605
1000-473,sophisticated-eax,PQR10,ann_1_mst,2.8765
1000-478,sophisticated-eax,PAR10,ann_1_mst,4.4559
1000-478,sophisticated-eax,PQR10,ann_1_mst,3.9035
1000-485,sophisticated-eax,PAR10,ann_1_mst,2.8417
1000-485,sophisticated-eax,PQR10,ann_1_mst,2.897
1000-486,sophisticated-eax,PAR10,ann_1_mst,3.2733
1000-486,sophisticated-eax,PQR10,ann_1_mst,3.4285
1000-494,sophisticated-eax,PAR10,ann_1_mst,3.2601
1000-494,sophisticated-eax,PQR10,ann_1_mst,3.237
1000-500,sophisticated-eax,PAR10,ann_1_mst,2.8114
1000-500,sophisticated-eax,PQR10,ann_1_mst,2.866
1000-51,sophisticated-eax,PAR10,ann_1_mst,3.9649
1000-51,sophisticated-eax,PQR10,ann_1_mst,3.571
1000-78,sophisticated-eax,PAR10,ann_1_mst,6.3929
1000-78,sophisticated-eax,PQR10,ann_1_mst,3.8105
1000-87,sophisticated-eax,PAR10,ann_1_mst,3.9279
1000-87,sophisticated-eax,PQR10,ann_1_mst,2.9645
1000-98,sophisticated-eax,PAR10,ann_1_mst,2.8187
1000-98,sophisticated-eax,PQR10,ann_1_mst,2.8135
1000-99,sophisticated-eax,PAR10,ann_1_mst,2.9241
1000-99,sophisticated-eax,PQR10,ann_1_mst,2.951
1000-101,sophisticated-lkh,PAR10,ann_1_mst,33.1262
1000-101,sophisticated-lkh,PQR10,ann_1_mst,23.3525
