prob,group,measure,solver,performance
1000-495,sophisticated-eax,PQR10,ann_1_points,3.17
1000-496,sophisticated-eax,PAR10,ann_1_points,3.6527
1000-496,sophisticated-eax,PQR10,ann_1_points,3.611
1000-50,sophisticated-eax,PAR10,ann_1_points,3.2739
1000-50,sophisticated-eax,PQR10,ann_1_points,3.2345
1000-52,sophisticated-eax,PAR10,ann_1_points,3.1234
1000-52,sophisticated-eax,PQR10,ann_1_points,3.108
1000-54,sophisticated-eax,PAR10,ann_1_points,3.2255
1000-54,sophisticated-eax,PQR10,ann_1_points,3.219
1000-56,sophisticated-eax,PAR10,ann_1_points,3.8362
1000-56,sophisticated-eax,PQR10,ann_1_points,3.0485
1000-62,sophisticated-eax,PAR10,ann_1_points,2.4711
1000-62,sophisticated-eax,PQR10,ann_1_points,2.3745
1000-77,sophisticated-eax,PAR10,ann_1_points,2.9133
1000-77,sophisticated-eax,PQR10,ann_1_points,3.0
1000-86,sophisticated-eax,PAR10,ann_1_points,2.8796
1000-86,sophisticated-eax,PQR10,ann_1_points,2.882
1000-106,sophisticated-lkh,PAR10,ann_1_points,20.8081
1000-106,sophisticated-lkh,PQR10,ann_1_points,15.5515
1000-107,sophisticated-lkh,PAR10,ann_1_points,105.4026
1000-107,sophisticated-lkh,PQR10,ann_1_points,58.1555
1000-137,sophisticated-lkh,PAR10,ann_1_points,68.9598
1000-137,sophisticated-lkh,PQR10,ann_1_points,40.8985
1000-139,sophisticated-lkh,PAR10,ann_1_points,14.8343
1000-139,sophisticated-lkh,PQR10,ann_1_points,13.6095
1000-15,sophisticated-lkh,PAR10,ann_1_points,18.6237
1000-15,sophisticated-lkh,PQR10,ann_1_points,18.2885
1000-165,sophisticated-lkh,PAR10,ann_1_points,34.7634
1000-165,sophisticated-lkh,PQR10,ann_1_points,29.179
1000-171,sophisticated-lkh,PAR10,ann_1_points,83.1099
1000-171,sophisticated-lkh,PQR10,ann_1_points,58.4735
1000-182,sophisticated-lkh,PAR10,ann_1_points,41.7153
1000-182,sophisticated-lkh,PQR10,ann_1_points,31.8165
1000-19,sophisticated-lkh,PAR10,ann_1_points,2.2861
1000-19,sophisticated-lkh,PQR10,ann_1_points,1.9655
1000-193,sophisticated-lkh,PAR10,ann_1_points,47.8947
1000-193,sophisticated-lkh,PQR10,ann_1_points,33.3405
1000-205,sophisticated-lkh,PAR10,ann_1_points,41.5498
1000-205,sophisticated-lkh,PQR10,ann_1_points,45.4435
1000-23,sophisticated-lkh,PAR10,ann_1_points,115.9172
1000-23,sophisticated-lkh,PQR10,ann_1_points,44.163
1000-274,sophisticated-lkh,PAR10,ann_1_points,89.4284
1000-274,sophisticated-lkh,PQR10,ann_1_points,90.749
1000-291,sophisticated-lkh,PAR10,ann_1_points,215.5003
1000-291,sophisticated-lkh,PQR10,ann_1_points,131.734
1000-292,sophisticated-lkh,PAR10,ann_1_points,2.0432
1000-292,sophisticated-lkh,PQR10,ann_1_points,1.379
1000-296,sophisticated-lkh,PAR10,ann_1_points,30.0261
1000-296,sophisticated-lkh,PQR10,ann_1_points,29.086
1000-298,sophisticated-lkh,PAR10,ann_1_points,167.1031
1000-298,sophisticated-lkh,PQR10,ann_1_points,155.7855
1000-3,sophisticated-lkh,PAR10,ann_1_points,41.8142
1000-3,sophisticated-lkh,PQR10,ann_1_points,30.1575
1000-304,sophisticated-lkh,PAR10,ann_1_points,90.3281
1000-304,sophisticated-lkh,PQR10,ann_1_points,45.189
1000-305,sophisticated-lkh,PAR10,ann_1_points,4.2899
1000-305,sophisticated-lkh,PQR10,ann_1_points,3.0015
1000-317,sophisticated-lkh,PAR10,ann_1_points,216.4894
1000-317,sophisticated-lkh,PQR10,ann_1_points,148.991
1000-319,sophisticated-lkh,PAR10,ann_1_points,311.5516
1000-319,sophisticated-lkh,PQR10,ann_1_points,297.032
1000-325,sophisticated-lkh,PAR10,ann_1_points,47.4284
1000-325,sophisticated-lkh,PQR10,ann_1_points,38.3785
1000-364,sophisticated-lkh,PAR10,ann_1_points,376.8574
1000-364,sophisticated-lkh,PQR10,ann_1_points,280.2885
1000-367,sophisticated-lkh,PAR10,ann_1_points,162.1393
1000-367,sophisticated-lkh,PQR10,ann_1_points,101.2685
1000-369,sophisticated-lkh,PAR10,ann_1_points,28.3554
1000-369,sophisticated-lkh,PQR10,ann_1_points,29.168
1000-38,sophisticated-lkh,PAR10,ann_1_points,93.0182
1000-38,sophisticated-lkh,PQR10,ann_1_points,62.402
1000-385,sophisticated-lkh,PAR10,ann_1_points,195.6529
1000-385,sophisticated-lkh,PQR10,ann_1_points,197.1695
1000-386,sophisticated-lkh,PAR10,ann_1_points,37.9696
1000-386,sophisticated-lkh,PQR10,ann_1_points,16.2925
1000-403,sophisticated-lkh,PAR10,ann_1_points,285.009
1000-403,sophisticated-lkh,PQR10,ann_1_points,212.917
1000-429,sophisticated-lkh,PAR10,ann_1_points,2.7319
1000-429,sophisticated-lkh,PQR10,ann_1_points,2.006
1000-433,sophisticated-lkh,PAR10,ann_1_points,31.7507
1000-433,sophisticated-lkh,PQR10,ann_1_points,35.3675
1000-435,sophisticated-lkh,PAR10,ann_1_points,24.0589
1000-435,sophisticated-lkh,PQR10,ann_1_points,16.449
1000-442,sophisticated-lkh,PAR10,ann_1_points,24.4475
1000-442,sophisticated-lkh,PQR10,ann_1_points,20.228
1000-475,sophisticated-lkh,PAR10,ann_1_points,49.3161
1000-475,sophisticated-lkh,PQR10,ann_1_points,51.069
1000-482,sophisticated-lkh,PAR10,ann_1_points,1.4235
1000-482,sophisticated-lkh,PQR10,ann_1_points,1.2775
1000-49,sophisticated-lkh,PAR10,ann_1_points,65.9156
1000-49,sophisticated-lkh,PQR10,ann_1_points,39.3365
1000-490,sophisticated-lkh,PAR10,ann_1_points,2.5679
1000-490,sophisticated-lkh,PQR10,ann_1_points,2.2975
1000-82,sophisticated-lkh,PAR10,ann_1_points,39.0649
1000-82,sophisticated-lkh,PQR10,ann_1_points,32.8815
1000-93,sophisticated-lkh,PAR10,ann_1_points,1.2019
1000-93,sophisticated-lkh,PQR10,ann_1_points,1.136
1000-106,sophisticated-eax,PAR10,ann_1_points,3.5777
1000-106,sophisticated-eax,PQR10,ann_1_points,3.5315
1000-107,sophisticated-eax,PAR10,ann_1_points,2.9685
1000-107,sophisticated-eax,PQR10,ann_1_points,2.9995
1000-115,sophisticated-eax,PAR10,ann_1_points,3.519
1000-115,sophisticated-eax,PQR10,ann_1_points,3.533
1000-130,sophisticated-eax,PAR10,ann_1_points,6.3573
1000-130,sophisticated-eax,PQR10,ann_1_points,3.9615
1000-14,sophisticated-eax,PAR10,ann_1_points,3.2199
1000-14,sophisticated-eax,PQR10,ann_1_points,3.2395
1000-140,sophisticated-eax,PAR10,ann_1_points,3.4052
1000-140,sophisticated-eax,PQR10,ann_1_points,3.3675
1000-179,sophisticated-eax,PAR10,ann_1_points,3.7813
1000-179,sophisticated-eax,PQR10,ann_1_points,3.309
1000-191,sophisticated-eax,PAR10,ann_1_points,3.0099
1000-191,sophisticated-eax,PQR10,ann_1_points,3.008
1000-194,sophisticated-eax,PAR10,ann_1_points,3.3083
1000-194,sophisticated-eax,PQR10,ann_1_points,3.425
1000-20,sophisticated-eax,PAR10,ann_1_points,2.9586
1000-20,sophisticated-eax,PQR10,ann_1_points,2.973
1000-206,sophisticated-eax,PAR10,ann_1_points,3.301
1000-206,sophisticated-eax,PQR10,ann_1_points,3.422
1000-208,sophisticated-eax,PAR10,ann_1_points,3.4552
1000-208,sophisticated-eax,PQR10,ann_1_points,3.517
1000-209,sophisticated-eax,PAR10,ann_1_points,3.0737
1000-209,sophisticated-eax,PQR10,ann_1_points,3.0705
1000-229,sophisticated-eax,PAR10,ann_1_points,3.1093
1000-229,sophisticated-eax,PQR10,ann_1_points,3.197
1000-233,sophisticated-eax,PAR10,ann_1_points,4.7786
1000-233,sophisticated-eax,PQR10,ann_1_points,3.7725
1000-235,sophisticated-eax,PAR10,ann_1_points,3.4338
1000-235,sophisticated-eax,PQR10,ann_1_points,3.0785
1000-254,sophisticated-eax,PAR10,ann_1_points,1221.2493
