prob,group,measure,solver,performance
1000-1,sophisticated-eax,PAR10,ann_1_mst,3.3818
1000-1,sophisticated-eax,PQR10,ann_1_mst,3.087
1000-105,sophisticated-eax,PAR10,ann_1_mst,5.1606
1000-105,sophisticated-eax,PQR10,ann_1_mst,4.0925
1000-113,sophisticated-eax,PAR10,ann_1_mst,3.7567
1000-113,sophisticated-eax,PQR10,ann_1_mst,3.2865
1000-114,sophisticated-eax,PAR10,ann_1_mst,3.6774
1000-114,sophisticated-eax,PQR10,ann_1_mst,3.6045
1000-117,sophisticated-eax,PAR10,ann_1_mst,3.0169
1000-117,sophisticated-eax,PQR10,ann_1_mst,3.09
1000-118,sophisticated-eax,PAR10,ann_1_mst,6.6999
1000-118,sophisticated-eax,PQR10,ann_1_mst,4.905
1000-119,sophisticated-eax,PAR10,ann_1_mst,3.848
1000-119,sophisticated-eax,PQR10,ann_1_mst,3.3815
1000-128,sophisticated-eax,PAR10,ann_1_mst,3.4224
1000-128,sophisticated-eax,PQR10,ann_1_mst,3.459
1000-132,sophisticated-eax,PAR10,ann_1_mst,3.3187
1000-132,sophisticated-eax,PQR10,ann_1_mst,2.957
1000-158,sophisticated-eax,PAR10,ann_1_mst,4.5559
1000-158,sophisticated-eax,PQR10,ann_1_mst,3.5265
1000-161,sophisticated-eax,PAR10,ann_1_mst,4.1648
1000-161,sophisticated-eax,PQR10,ann_1_mst,3.676
1000-164,sophisticated-eax,PAR10,ann_1_mst,4.3505
1000-164,sophisticated-eax,PQR10,ann_1_mst,3.091
1000-169,sophisticated-eax,PAR10,ann_1_mst,3.0103
1000-169,sophisticated-eax,PQR10,ann_1_mst,3.033
1000-177,sophisticated-eax,PAR10,ann_1_mst,2.8812
1000-177,sophisticated-eax,PQR10,ann_1_mst,2.8735
1000-187,sophisticated-eax,PAR10,ann_1_mst,21.1322
1000-187,sophisticated-eax,PQR10,ann_1_mst,18.162
1000-192,sophisticated-eax,PAR10,ann_1_mst,3.465
1000-192,sophisticated-eax,PQR10,ann_1_mst,3.0975
1000-204,sophisticated-eax,PAR10,ann_1_mst,5.6874
1000-204,sophisticated-eax,PQR10,ann_1_mst,3.741
1000-22,sophisticated-eax,PAR10,ann_1_mst,3.1394
1000-22,sophisticated-eax,PQR10,ann_1_mst,3.229
1000-244,sophisticated-eax,PAR10,ann_1_mst,3.1395
1000-244,sophisticated-eax,PQR10,ann_1_mst,3.224
1000-245,sophisticated-eax,PAR10,ann_1_mst,5.5629
1000-245,sophisticated-eax,PQR10,ann_1_mst,3.4715
1000-261,sophisticated-eax,PAR10,ann_1_mst,3.3608
1000-261,sophisticated-eax,PQR10,ann_1_mst,3.3265
1000-267,sophisticated-eax,PAR10,ann_1_mst,3.2414
1000-267,sophisticated-eax,PQR10,ann_1_mst,3.318
1000-305,sophisticated-eax,PAR10,ann_1_mst,3.5308
1000-305,sophisticated-eax,PQR10,ann_1_mst,3.0145
1000-306,sophisticated-eax,PAR10,ann_1_mst,3.0367
1000-306,sophisticated-eax,PQR10,ann_1_mst,3.048
1000-308,sophisticated-eax,PAR10,ann_1_mst,3.8243
1000-308,sophisticated-eax,PQR10,ann_1_mst,3.272
1000-311,sophisticated-eax,PAR10,ann_1_mst,3.1994
1000-311,sophisticated-eax,PQR10,ann_1_mst,3.2275
1000-328,sophisticated-eax,PAR10,ann_1_mst,8.1197
1000-328,sophisticated-eax,PQR10,ann_1_mst,8.322
1000-337,sophisticated-eax,PAR10,ann_1_mst,2.9984
1000-337,sophisticated-eax,PQR10,ann_1_mst,2.9805
1000-347,sophisticated-eax,PAR10,ann_1_mst,2.747
1000-347,sophisticated-eax,PQR10,ann_1_mst,2.7915
1000-354,sophisticated-eax,PAR10,ann_1_mst,3.2226
1000-354,sophisticated-eax,PQR10,ann_1_mst,3.2305
1000-370,sophisticated-eax,PAR10,ann_1_mst,2.9248
1000-370,sophisticated-eax,PQR10,ann_1_mst,2.8875
1000-375,sophisticated-eax,PAR10,ann_1_mst,5.3784
1000-375,sophisticated-eax,PQR10,ann_1_mst,3.7075
1000-384,sophisticated-eax,PAR10,ann_1_mst,4.6591
1000-384,sophisticated-eax,PQR10,ann_1_mst,3.522
1000-40,sophisticated-eax,PAR10,ann_1_mst,3.1172
1000-40,sophisticated-eax,PQR10,ann_1_mst,3.1485
1000-401,sophisticated-eax,PAR10,ann_1_mst,3.3408
1000-401,sophisticated-eax,PQR10,ann_1_mst,3.33
1000-403,sophisticated-eax,PAR10,ann_1_mst,3.0348
1000-403,sophisticated-eax,PQR10,ann_1_mst,2.6095
1000-407,sophisticated-eax,PAR10,ann_1_mst,3.6648
1000-407,sophisticated-eax,PQR10,ann_1_mst,3.754
1000-423,sophisticated-eax,PAR10,ann_1_mst,2.9469
1000-423,sophisticated-eax,PQR10,ann_1_mst,2.9915
1000-425,sophisticated-eax,PAR10,ann_1_mst,4.6013
1000-425,sophisticated-eax,PQR10,ann_1_mst,3.6335
1000-431,sophisticated-eax,PAR10,ann_1_mst,3.6926
1000-431,sophisticated-eax,PQR10,ann_1_mst,3.176
1000-438,sophisticated-eax,PAR10,ann_1_mst,3.1841
1000-438,sophisticated-eax,PQR10,ann_1_mst,3.163
1000-440,sophisticated-eax,PAR10,ann_1_mst,2.9601
1000-440,sophisticated-eax,PQR10,ann_1_mst,2.967
1000-454,sophisticated-eax,PAR10,ann_1_mst,3.3309
1000-454,sophisticated-eax,PQR10,ann_1_mst,3.307
1000-455,sophisticated-eax,PAR10,ann_1_mst,4.0123
1000-455,sophisticated-eax,PQR10,ann_1_mst,2.9635
1000-466,sophisticated-eax,PAR10,ann_1_mst,3.1394
1000-466,sophisticated-eax,PQR10,ann_1_mst,3.103
1000-479,sophisticated-eax,PAR10,ann_1_mst,2.7504
1000-479,sophisticated-eax,PQR10,ann_1_mst,2.758
1000-490,sophisticated-eax,PAR10,ann_1_mst,4.5948
1000-490,sophisticated-eax,PQR10,ann_1_mst,3.76
