prob,group,measure,solver,performance
1000-238,sophisticated-lkh,PAR10,ann_2_points_mst,6.0245
1000-238,sophisticated-lkh,PQR10,ann_2_points_mst,6.66
1000-246,sophisticated-lkh,PAR10,ann_2_points_mst,89.4018
1000-246,sophisticated-lkh,PQR10,ann_2_points_mst,37.724
1000-25,sophisticated-lkh,PAR10,ann_2_points_mst,2.0517
1000-25,sophisticated-lkh,PQR10,ann_2_points_mst,1.5895
1000-262,sophisticated-lkh,PAR10,ann_2_points_mst,1.8108
1000-262,sophisticated-lkh,PQR10,ann_2_points_mst,1.7465
1000-268,sophisticated-lkh,PAR10,ann_2_points_mst,88.6544
1000-268,sophisticated-lkh,PQR10,ann_2_points_mst,52.056
1000-287,sophisticated-lkh,PAR10,ann_2_points_mst,1.2577
1000-287,sophisticated-lkh,PQR10,ann_2_points_mst,1.2
1000-294,sophisticated-lkh,PAR10,ann_2_points_mst,114.353
1000-294,sophisticated-lkh,PQR10,ann_2_points_mst,108.5455
1000-306,sophisticated-lkh,PAR10,ann_2_points_mst,261.6574
1000-306,sophisticated-lkh,PQR10,ann_2_points_mst,245.9255
1000-311,sophisticated-lkh,PAR10,ann_2_points_mst,3.5339
1000-311,sophisticated-lkh,PQR10,ann_2_points_mst,2.649
1000-32,sophisticated-lkh,PAR10,ann_2_points_mst,1.6108
1000-32,sophisticated-lkh,PQR10,ann_2_points_mst,1.494
1000-328,sophisticated-lkh,PAR10,ann_2_points_mst,296.8375
1000-328,sophisticated-lkh,PQR10,ann_2_points_mst,164.1895
1000-336,sophisticated-lkh,PAR10,ann_2_points_mst,2.0824
1000-336,sophisticated-lkh,PQR10,ann_2_points_mst,1.2325
1000-339,sophisticated-lkh,PAR10,ann_2_points_mst,85.8574
1000-339,sophisticated-lkh,PQR10,ann_2_points_mst,64.29
1000-344,sophisticated-lkh,PAR10,ann_2_points_mst,109.7298
1000-344,sophisticated-lkh,PQR10,ann_2_points_mst,86.86
1000-347,sophisticated-lkh,PAR10,ann_2_points_mst,2.378
1000-347,sophisticated-lkh,PQR10,ann_2_points_mst,1.8265
1000-377,sophisticated-lkh,PAR10,ann_2_points_mst,6.4828
1000-377,sophisticated-lkh,PQR10,ann_2_points_mst,1.702
1000-392,sophisticated-lkh,PAR10,ann_2_points_mst,9.6526
1000-392,sophisticated-lkh,PQR10,ann_2_points_mst,7.3495
1000-401,sophisticated-lkh,PAR10,ann_2_points_mst,199.3271
1000-401,sophisticated-lkh,PQR10,ann_2_points_mst,93.6585
1000-404,sophisticated-lkh,PAR10,ann_2_points_mst,3.936
1000-404,sophisticated-lkh,PQR10,ann_2_points_mst,2.6895
1000-405,sophisticated-lkh,PAR10,ann_2_points_mst,20.8983
1000-405,sophisticated-lkh,PQR10,ann_2_points_mst,14.808
1000-409,sophisticated-lkh,PAR10,ann_2_points_mst,22.0703
1000-409,sophisticated-lkh,PQR10,ann_2_points_mst,15.409
1000-412,sophisticated-lkh,PAR10,ann_2_points_mst,14.3577
1000-412,sophisticated-lkh,PQR10,ann_2_points_mst,8.5575
1000-415,sophisticated-lkh,PAR10,ann_2_points_mst,175.5607
1000-415,sophisticated-lkh,PQR10,ann_2_points_mst,182.871
1000-428,sophisticated-lkh,PAR10,ann_2_points_mst,51.5255
1000-428,sophisticated-lkh,PQR10,ann_2_points_mst,36.2025
1000-44,sophisticated-lkh,PAR10,ann_2_points_mst,1.7715
1000-44,sophisticated-lkh,PQR10,ann_2_points_mst,1.5535
1000-45,sophisticated-lkh,PAR10,ann_2_points_mst,21.7966
1000-45,sophisticated-lkh,PQR10,ann_2_points_mst,9.664
1000-468,sophisticated-lkh,PAR10,ann_2_points_mst,70.2152
1000-468,sophisticated-lkh,PQR10,ann_2_points_mst,47.2125
1000-469,sophisticated-lkh,PAR10,ann_2_points_mst,187.1392
1000-469,sophisticated-lkh,PQR10,ann_2_points_mst,150.3885
1000-489,sophisticated-lkh,PAR10,ann_2_points_mst,10.7663
1000-489,sophisticated-lkh,PQR10,ann_2_points_mst,6.608
1000-59,sophisticated-lkh,PAR10,ann_2_points_mst,104.6834
1000-59,sophisticated-lkh,PQR10,ann_2_points_mst,64.434
1000-67,sophisticated-lkh,PAR10,ann_2_points_mst,86.5252
1000-67,sophisticated-lkh,PQR10,ann_2_points_mst,59.6965
1000-71,sophisticated-lkh,PAR10,ann_2_points_mst,674.2895
1000-71,sophisticated-lkh,PQR10,ann_2_points_mst,421.0
1000-79,sophisticated-lkh,PAR10,ann_2_points_mst,20.4827
1000-79,sophisticated-lkh,PQR10,ann_2_points_mst,12.634
1000-98,sophisticated-lkh,PAR10,ann_2_points_mst,6.5084
1000-98,sophisticated-lkh,PQR10,ann_2_points_mst,3.939
