prob,group,measure,solver,performance
1000-110,sophisticated-eax,PAR10,ann_2_points_mst,8.7557
1000-110,sophisticated-eax,PQR10,ann_2_points_mst,6.2435
1000-116,sophisticated-eax,PAR10,ann_2_points_mst,4.0767
1000-116,sophisticated-eax,PQR10,ann_2_points_mst,3.1155
1000-121,sophisticated-eax,PAR10,ann_2_points_mst,53.8637
1000-121,sophisticated-eax,PQR10,ann_2_points_mst,40.2445
1000-122,sophisticated-eax,PAR10,ann_2_points_mst,2.7891
1000-122,sophisticated-eax,PQR10,ann_2_points_mst,2.851
1000-123,sophisticated-eax,PAR10,ann_2_points_mst,3.1362
1000-123,sophisticated-eax,PQR10,ann_2_points_mst,3.1665
1000-147,sophisticated-eax,PAR10,ann_2_points_mst,5.0149
1000-147,sophisticated-eax,PQR10,ann_2_points_mst,3.3125
1000-151,sophisticated-eax,PAR10,ann_2_points_mst,3.4803
1000-151,sophisticated-eax,PQR10,ann_2_points_mst,3.5145
1000-170,sophisticated-eax,PAR10,ann_2_points_mst,3.3664
1000-170,sophisticated-eax,PQR10,ann_2_points_mst,3.3
1000-203,sophisticated-eax,PAR10,ann_2_points_mst,3.2897
1000-203,sophisticated-eax,PQR10,ann_2_points_mst,3.306
1000-212,sophisticated-eax,PAR10,ann_2_points_mst,4.7773
1000-212,sophisticated-eax,PQR10,ann_2_points_mst,3.851
1000-213,sophisticated-eax,PAR10,ann_2_points_mst,2.7868
1000-213,sophisticated-eax,PQR10,ann_2_points_mst,2.6815
1000-214,sophisticated-eax,PAR10,ann_2_points_mst,3.273
1000-214,sophisticated-eax,PQR10,ann_2_points_mst,3.2825
1000-232,sophisticated-eax,PAR10,ann_2_points_mst,4.9743
1000-232,sophisticated-eax,PQR10,ann_2_points_mst,3.634
1000-243,sophisticated-eax,PAR10,ann_2_points_mst,3.4665
1000-243,sophisticated-eax,PQR10,ann_2_points_mst,2.996
1000-25,sophisticated-eax,PAR10,ann_2_points_mst,4.4538
1000-25,sophisticated-eax,PQR10,ann_2_points_mst,3.17
1000-274,sophisticated-eax,PAR10,ann_2_points_mst,3.2616
1000-274,sophisticated-eax,PQR10,ann_2_points_mst,3.216
1000-277,sophisticated-eax,PAR10,ann_2_points_mst,3.1648
1000-277,sophisticated-eax,PQR10,ann_2_points_mst,3.1325
1000-287,sophisticated-eax,PAR10,ann_2_points_mst,5.0975
1000-287,sophisticated-eax,PQR10,ann_2_points_mst,4.152
1000-301,sophisticated-eax,PAR10,ann_2_points_mst,3.1156
1000-301,sophisticated-eax,PQR10,ann_2_points_mst,3.1655
1000-317,sophisticated-eax,PAR10,ann_2_points_mst,3.3225
1000-317,sophisticated-eax,PQR10,ann_2_points_mst,3.3635
1000-341,sophisticated-eax,PAR10,ann_2_points_mst,3.1994
1000-341,sophisticated-eax,PQR10,ann_2_points_mst,3.2155
1000-363,sophisticated-eax,PAR10,ann_2_points_mst,3.2538
1000-363,sophisticated-eax,PQR10,ann_2_points_mst,3.2725
1000-377,sophisticated-eax,PAR10,ann_2_points_mst,3.4113
1000-377,sophisticated-eax,PQR10,ann_2_points_mst,3.383
1000-378,sophisticated-eax,PAR10,ann_2_points_mst,4.2608
1000-378,sophisticated-eax,PQR10,ann_2_points_mst,3.24
1000-381,sophisticated-eax,PAR10,ann_2_points_mst,3.6624
1000-381,sophisticated-eax,PQR10,ann_2_points_mst,3.2125
1000-388,sophisticated-eax,PAR10,ann_2_points_mst,8.5301
1000-388,sophisticated-eax,PQR10,ann_2_points_mst,6.7185
1000-400,sophisticated-eax,PAR10,ann_2_points_mst,2.8325
1000-400,sophisticated-eax,PQR10,ann_2_points_mst,2.869
1000-404,sophisticated-eax,PAR10,ann_2_points_mst,2.8312
1000-404,sophisticated-eax,PQR10,ann_2_points_mst,2.8815
1000-414,sophisticated-eax,PAR10,ann_2_points_mst,2.9746
1000-414,sophisticated-eax,PQR10,ann_2_points_mst,2.9675
1000-415,sophisticated-eax,PAR10,ann_2_points_mst,2.9257
1000-415,sophisticated-eax,PQR10,ann_2_points_mst,3.006
1000-416,sophisticated-eax,PAR10,ann_2_points_mst,3.0135
1000-416,sophisticated-eax,PQR10,ann_2_points_mst,2.9635
1000-420,sophisticated-eax,PAR10,ann_2_points_mst,3.6566
1000-420,sophisticated-eax,PQR10,ann_2_points_mst,3.681
1000-424,sophisticated-eax,PAR10,ann_2_points_mst,3.1943
1000-424,sophisticated-eax,PQR10,ann_2_points_mst,3.107
1000-456,sophisticated-eax,PAR10,ann_2_points_mst,6.2985
1000-456,sophisticated-eax,PQR10,ann_2_points_mst,4.437
1000-49,sophisticated-eax,PAR10,ann_2_points_mst,3.3069
1000-49,sophisticated-eax,PQR10,ann_2_points_mst,3.3915
1000-491,sophisticated-eax,PAR10,ann_2_points_mst,2.7023
1000-491,sophisticated-eax,PQR10,ann_2_points_mst,2.692
1000-498,sophisticated-eax,PAR10,ann_2_points_mst,3.0819
1000-498,sophisticated-eax,PQR10,ann_2_points_mst,3.137
1000-66,sophisticated-eax,PAR10,ann_2_points_mst,3.3117
1000-66,sophisticated-eax,PQR10,ann_2_points_mst,3.346
1000-73,sophisticated-eax,PAR10,ann_2_points_mst,3.6562
1000-73,sophisticated-eax,PQR10,ann_2_points_mst,3.3525
1000-75,sophisticated-eax,PAR10,ann_2_points_mst,4.2841
1000-75,sophisticated-eax,PQR10,ann_2_points_mst,3.2285
1000-80,sophisticated-eax,PAR10,ann_2_points_mst,3.093
1000-80,sophisticated-eax,PQR10,ann_2_points_mst,3.0845
1000-81,sophisticated-eax,PAR10,ann_2_points_mst,2.9346
1000-81,sophisticated-eax,PQR10,ann_2_points_mst,2.968
1000-84,sophisticated-eax,PAR10,ann_2_points_mst,3.1002
1000-84,sophisticated-eax,PQR10,ann_2_points_mst,3.1765
1000-88,sophisticated-eax,PAR10,ann_2_points_mst,3.0345
1000-88,sophisticated-eax,PQR10,ann_2_points_mst,3.0395
1000-90,sophisticated-eax,PAR10,ann_2_points_mst,3.0111
1000-90,sophisticated-eax,PQR10,ann_2_points_mst,2.9985
1000-91,sophisticated-eax,PAR10,ann_2_points_mst,2.9408
1000-91,sophisticated-eax,PQR10,ann_2_points_mst,2.9725
1000-95,sophisticated-eax,PAR10,ann_2_points_mst,3.1049
1000-95,sophisticated-eax,PQR10,ann_2_points_mst,3.1655
1000-102,sophisticated-lkh,PAR10,ann_2_points_mst,113.2731
1000-102,sophisticated-lkh,PQR10,ann_2_points_mst,121.7125
1000-104,sophisticated-lkh,PAR10,ann_2_points_mst,1.6714
1000-104,sophisticated-lkh,PQR10,ann_2_points_mst,1.4985
1000-114,sophisticated-lkh,PAR10,ann_2_points_mst,13.0625
1000-114,sophisticated-lkh,PQR10,ann_2_points_mst,4.1025
1000-121,sophisticated-lkh,PAR10,ann_2_points_mst,142.3161
1000-121,sophisticated-lkh,PQR10,ann_2_points_mst,124.3945
1000-125,sophisticated-lkh,PAR10,ann_2_points_mst,16.0885
1000-125,sophisticated-lkh,PQR10,ann_2_points_mst,14.7715
1000-127,sophisticated-lkh,PAR10,ann_2_points_mst,2.468
1000-127,sophisticated-lkh,PQR10,ann_2_points_mst,2.126
1000-140,sophisticated-lkh,PAR10,ann_2_points_mst,45.393
1000-140,sophisticated-lkh,PQR10,ann_2_points_mst,29.364
1000-154,sophisticated-lkh,PAR10,ann_2_points_mst,971.4782
1000-154,sophisticated-lkh,PQR10,ann_2_points_mst,898.992
1000-159,sophisticated-lkh,PAR10,ann_2_points_mst,52.0734
1000-159,sophisticated-lkh,PQR10,ann_2_points_mst,34.2485
1000-163,sophisticated-lkh,PAR10,ann_2_points_mst,480.9166
1000-163,sophisticated-lkh,PQR10,ann_2_points_mst,342.1235
1000-164,sophisticated-lkh,PAR10,ann_2_points_mst,67.9164
1000-164,sophisticated-lkh,PQR10,ann_2_points_mst,45.7825
1000-166,sophisticated-lkh,PAR10,ann_2_points_mst,30.5501
1000-166,sophisticated-lkh,PQR10,ann_2_points_mst,21.4565
1000-167,sophisticated-lkh,PAR10,ann_2_points_mst,2.8426
1000-167,sophisticated-lkh,PQR10,ann_2_points_mst,2.3775
1000-183,sophisticated-lkh,PAR10,ann_2_points_mst,39.939
1000-183,sophisticated-lkh,PQR10,ann_2_points_mst,27.151
1000-186,sophisticated-lkh,PAR10,ann_2_points_mst,8.2596
