prob,group,measure,solver,performance
1000-11,sophisticated-eax,PAR10,ann_1_mst,3.0673
1000-11,sophisticated-eax,PQR10,ann_1_mst,3.126
1000-111,sophisticated-eax,PAR10,ann_1_mst,2.6799
1000-111,sophisticated-eax,PQR10,ann_1_mst,2.6385
1000-134,sophisticated-eax,PAR10,ann_1_mst,201.0116
1000-134,sophisticated-eax,PQR10,ann_1_mst,156.357
1000-15,sophisticated-eax,PAR10,ann_1_mst,2.6359
1000-15,sophisticated-eax,PQR10,ann_1_mst,2.652
1000-152,sophisticated-eax,PAR10,ann_1_mst,3.3161
1000-152,sophisticated-eax,PQR10,ann_1_mst,3.3285
1000-154,sophisticated-eax,PAR10,ann_1_mst,4.3316
1000-154,sophisticated-eax,PQR10,ann_1_mst,3.45
1000-157,sophisticated-eax,PAR10,ann_1_mst,5.4242
1000-157,sophisticated-eax,PQR10,ann_1_mst,3.6115
1000-160,sophisticated-eax,PAR10,ann_1_mst,4.2486
1000-160,sophisticated-eax,PQR10,ann_1_mst,3.099
1000-183,sophisticated-eax,PAR10,ann_1_mst,4.1379
1000-183,sophisticated-eax,PQR10,ann_1_mst,3.3465
1000-188,sophisticated-eax,PAR10,ann_1_mst,3.3211
1000-188,sophisticated-eax,PQR10,ann_1_mst,3.2055
1000-201,sophisticated-eax,PAR10,ann_1_mst,4.1076
1000-201,sophisticated-eax,PQR10,ann_1_mst,2.5945
1000-205,sophisticated-eax,PAR10,ann_1_mst,3.2042
1000-205,sophisticated-eax,PQR10,ann_1_mst,2.8405
1000-211,sophisticated-eax,PAR10,ann_1_mst,3.1857
1000-211,sophisticated-eax,PQR10,ann_1_mst,3.2655
1000-223,sophisticated-eax,PAR10,ann_1_mst,5.485
1000-223,sophisticated-eax,PQR10,ann_1_mst,3.412
1000-234,sophisticated-eax,PAR10,ann_1_mst,4.0075
1000-234,sophisticated-eax,PQR10,ann_1_mst,3.399
1000-257,sophisticated-eax,PAR10,ann_1_mst,3.5208
1000-257,sophisticated-eax,PQR10,ann_1_mst,3.313
1000-264,sophisticated-eax,PAR10,ann_1_mst,2.7009
1000-264,sophisticated-eax,PQR10,ann_1_mst,2.7455
1000-295,sophisticated-eax,PAR10,ann_1_mst,3.3283
1000-295,sophisticated-eax,PQR10,ann_1_mst,3.346
1000-300,sophisticated-eax,PAR10,ann_1_mst,3.5084
1000-300,sophisticated-eax,PQR10,ann_1_mst,3.4515
1000-310,sophisticated-eax,PAR10,ann_1_mst,40.827
1000-310,sophisticated-eax,PQR10,ann_1_mst,39.913
1000-318,sophisticated-eax,PAR10,ann_1_mst,5.1129
1000-318,sophisticated-eax,PQR10,ann_1_mst,3.3715
1000-322,sophisticated-eax,PAR10,ann_1_mst,4.2745
1000-322,sophisticated-eax,PQR10,ann_1_mst,3.8455
1000-331,sophisticated-eax,PAR10,ann_1_mst,2.9551
1000-331,sophisticated-eax,PQR10,ann_1_mst,2.9455
1000-343,sophisticated-eax,PAR10,ann_1_mst,3.5519
1000-343,sophisticated-eax,PQR10,ann_1_mst,3.379
1000-346,sophisticated-eax,PAR10,ann_1_mst,5.166
1000-346,sophisticated-eax,PQR10,ann_1_mst,3.7595
1000-349,sophisticated-eax,PAR10,ann_1_mst,4.5142
1000-349,sophisticated-eax,PQR10,ann_1_mst,4.5525
1000-352,sophisticated-eax,PAR10,ann_1_mst,3.5305
1000-352,sophisticated-eax,PQR10,ann_1_mst,3.6255
1000-36,sophisticated-eax,PAR10,ann_1_mst,4.1792
1000-36,sophisticated-eax,PQR10,ann_1_mst,3.623
1000-379,sophisticated-eax,PAR10,ann_1_mst,2.9761
1000-379,sophisticated-eax,PQR10,ann_1_mst,2.9465
1000-38,sophisticated-eax,PAR10,ann_1_mst,17.9432
1000-38,sophisticated-eax,PQR10,ann_1_mst,13.219
1000-382,sophisticated-eax,PAR10,ann_1_mst,4.3993
1000-382,sophisticated-eax,PQR10,ann_1_mst,3.374
1000-419,sophisticated-eax,PAR10,ann_1_mst,3.0277
1000-419,sophisticated-eax,PQR10,ann_1_mst,2.681
1000-421,sophisticated-eax,PAR10,ann_1_mst,3.5333
1000-421,sophisticated-eax,PQR10,ann_1_mst,3.5165
1000-427,sophisticated-eax,PAR10,ann_1_mst,2.7999
1000-427,sophisticated-eax,PQR10,ann_1_mst,2.8465
1000-43,sophisticated-eax,PAR10,ann_1_mst,3.8862
1000-43,sophisticated-eax,PQR10,ann_1_mst,3.373
1000-461,sophisticated-eax,PAR10,ann_1_mst,3.0735
1000-461,sophisticated-eax,PQR10,ann_1_mst,3.0685
1000-484,sophisticated-eax,PAR10,ann_1_mst,2.5853
1000-484,sophisticated-eax,PQR10,ann_1_mst,2.6545
1000-65,sophisticated-eax,PAR10,ann_1_mst,7.9046
1000-65,sophisticated-eax,PQR10,ann_1_mst,7.0365
1000-67,sophisticated-eax,PAR10,ann_1_mst,4.6055
1000-67,sophisticated-eax,PQR10,ann_1_mst,3.316
1000-7,sophisticated-eax,PAR10,ann_1_mst,2.8168
1000-7,sophisticated-eax,PQR10,ann_1_mst,2.8525
1000-71,sophisticated-eax,PAR10,ann_1_mst,3.5268
1000-71,sophisticated-eax,PQR10,ann_1_mst,3.568
1000-8,sophisticated-eax,PAR10,ann_1_mst,3.4682
1000-8,sophisticated-eax,PQR10,ann_1_mst,3.4755
1000-85,sophisticated-eax,PAR10,ann_1_mst,44.5945
1000-85,sophisticated-eax,PQR10,ann_1_mst,36.249
1000-92,sophisticated-eax,PAR10,ann_1_mst,3.3734
1000-92,sophisticated-eax,PQR10,ann_1_mst,3.0745
1000-96,sophisticated-eax,PAR10,ann_1_mst,3.3807
1000-96,sophisticated-eax,PQR10,ann_1_mst,3.3445
1000-10,sophisticated-lkh,PAR10,ann_1_mst,19.5128
1000-10,sophisticated-lkh,PQR10,ann_1_mst,12.5555
1000-109,sophisticated-lkh,PAR10,ann_1_mst,36.7509
1000-109,sophisticated-lkh,PQR10,ann_1_mst,24.4395
1000-124,sophisticated-lkh,PAR10,ann_1_mst,5.21
1000-124,sophisticated-lkh,PQR10,ann_1_mst,4.346
1000-136,sophisticated-lkh,PAR10,ann_1_mst,45.9114
1000-136,sophisticated-lkh,PQR10,ann_1_mst,42.526
1000-142,sophisticated-lkh,PAR10,ann_1_mst,196.3468
1000-142,sophisticated-lkh,PQR10,ann_1_mst,133.849
1000-146,sophisticated-lkh,PAR10,ann_1_mst,44.8038
1000-146,sophisticated-lkh,PQR10,ann_1_mst,40.92
1000-152,sophisticated-lkh,PAR10,ann_1_mst,1.2616
1000-152,sophisticated-lkh,PQR10,ann_1_mst,1.14
1000-155,sophisticated-lkh,PAR10,ann_1_mst,15.6483
1000-155,sophisticated-lkh,PQR10,ann_1_mst,9.4565
1000-162,sophisticated-lkh,PAR10,ann_1_mst,18.0848
1000-162,sophisticated-lkh,PQR10,ann_1_mst,9.1585
1000-17,sophisticated-lkh,PAR10,ann_1_mst,40.3981
1000-17,sophisticated-lkh,PQR10,ann_1_mst,25.3485
1000-175,sophisticated-lkh,PAR10,ann_1_mst,23.9291
1000-175,sophisticated-lkh,PQR10,ann_1_mst,11.2185
1000-180,sophisticated-lkh,PAR10,ann_1_mst,1.6626
1000-180,sophisticated-lkh,PQR10,ann_1_mst,1.2335
1000-185,sophisticated-lkh,PAR10,ann_1_mst,3.2588
1000-185,sophisticated-lkh,PQR10,ann_1_mst,2.641
1000-189,sophisticated-lkh,PAR10,ann_1_mst,149.597
1000-189,sophisticated-lkh,PQR10,ann_1_mst,105.314
1000-199,sophisticated-lkh,PAR10,ann_1_mst,48.8503
1000-199,sophisticated-lkh,PQR10,ann_1_mst,27.336
1000-216,sophisticated-lkh,PAR10,ann_1_mst,57.7872
1000-216,sophisticated-lkh,PQR10,ann_1_mst,43.0075
1000-225,sophisticated-lkh,PAR10,ann_1_mst,2.086
1000-225,sophisticated-lkh,PQR10,ann_1_mst,1.754
1000-243,sophisticated-lkh,PAR10,ann_1_mst,24.3256
1000-243,sophisticated-lkh,PQR10,ann_1_mst,24.985
1000-247,sophisticated-lkh,PAR10,ann_1_mst,29.0243
1000-247,sophisticated-lkh,PQR10,ann_1_mst,19.5215
1000-259,sophisticated-lkh,PAR10,ann_1_mst,32.6134
1000-259,sophisticated-lkh,PQR10,ann_1_mst,26.016
1000-278,sophisticated-lkh,PAR10,ann_1_mst,12.4046
1000-278,sophisticated-lkh,PQR10,ann_1_mst,7.507
1000-293,sophisticated-lkh,PAR10,ann_1_mst,36.8739
1000-293,sophisticated-lkh,PQR10,ann_1_mst,23.918
