prob,group,measure,solver,performance
1000-103,sophisticated-eax,PAR10,ann_1_nng,3.3638
1000-103,sophisticated-eax,PQR10,ann_1_nng,3.408
1000-104,sophisticated-eax,PAR10,ann_1_nng,4.269
1000-104,sophisticated-eax,PQR10,ann_1_nng,3.366
1000-124,sophisticated-eax,PAR10,ann_1_nng,3.5819
1000-124,sophisticated-eax,PQR10,ann_1_nng,3.546
1000-127,sophisticated-eax,PAR10,ann_1_nng,3.2717
1000-127,sophisticated-eax,PQR10,ann_1_nng,3.263
1000-146,sophisticated-eax,PAR10,ann_1_nng,3.9719
1000-146,sophisticated-eax,PQR10,ann_1_nng,3.2875
1000-148,sophisticated-eax,PAR10,ann_1_nng,4.3852
1000-148,sophisticated-eax,PQR10,ann_1_nng,3.432
1000-159,sophisticated-eax,PAR10,ann_1_nng,3.3459
1000-159,sophisticated-eax,PQR10,ann_1_nng,3.3335
1000-163,sophisticated-eax,PAR10,ann_1_nng,3.1516
1000-163,sophisticated-eax,PQR10,ann_1_nng,3.168
1000-173,sophisticated-eax,PAR10,ann_1_nng,3.159
1000-173,sophisticated-eax,PQR10,ann_1_nng,3.1195
1000-174,sophisticated-eax,PAR10,ann_1_nng,3.1373
1000-174,sophisticated-eax,PQR10,ann_1_nng,3.251
1000-176,sophisticated-eax,PAR10,ann_1_nng,2.8296
1000-176,sophisticated-eax,PQR10,ann_1_nng,2.867
1000-189,sophisticated-eax,PAR10,ann_1_nng,5.5406
1000-189,sophisticated-eax,PQR10,ann_1_nng,4.6025
1000-19,sophisticated-eax,PAR10,ann_1_nng,5.0393
1000-19,sophisticated-eax,PQR10,ann_1_nng,3.712
1000-224,sophisticated-eax,PAR10,ann_1_nng,8.8
1000-224,sophisticated-eax,PQR10,ann_1_nng,3.079
1000-240,sophisticated-eax,PAR10,ann_1_nng,6.0661
1000-240,sophisticated-eax,PQR10,ann_1_nng,3.8395
1000-241,sophisticated-eax,PAR10,ann_1_nng,3.2135
1000-241,sophisticated-eax,PQR10,ann_1_nng,3.199
1000-247,sophisticated-eax,PAR10,ann_1_nng,3.245
1000-247,sophisticated-eax,PQR10,ann_1_nng,3.257
1000-253,sophisticated-eax,PAR10,ann_1_nng,4.3332
1000-253,sophisticated-eax,PQR10,ann_1_nng,3.316
