prob,group,measure,solver,performance
1000-464,sophisticated-eax,PQR10,ann_1_nng,2.973
1000-476,sophisticated-eax,PAR10,ann_1_nng,4.564
1000-476,sophisticated-eax,PQR10,ann_1_nng,3.524
1000-481,sophisticated-eax,PAR10,ann_1_nng,3.2756
1000-481,sophisticated-eax,PQR10,ann_1_nng,3.328
1000-482,sophisticated-eax,PAR10,ann_1_nng,3.1054
1000-482,sophisticated-eax,PQR10,ann_1_nng,3.2025
1000-489,sophisticated-eax,PAR10,ann_1_nng,3.9861
1000-489,sophisticated-eax,PQR10,ann_1_nng,3.089
1000-499,sophisticated-eax,PAR10,ann_1_nng,13.3201
1000-499,sophisticated-eax,PQR10,ann_1_nng,12.192
1000-63,sophisticated-eax,PAR10,ann_1_nng,3.1394
1000-63,sophisticated-eax,PQR10,ann_1_nng,3.1795
1000-68,sophisticated-eax,PAR10,ann_1_nng,3.3856
1000-68,sophisticated-eax,PQR10,ann_1_nng,2.9945
1000-69,sophisticated-eax,PAR10,ann_1_nng,59.1897
1000-69,sophisticated-eax,PQR10,ann_1_nng,63.836
1000-9,sophisticated-eax,PAR10,ann_1_nng,3.2958
1000-9,sophisticated-eax,PQR10,ann_1_nng,3.053
1000-103,sophisticated-lkh,PAR10,ann_1_nng,108.6325
1000-103,sophisticated-lkh,PQR10,ann_1_nng,96.8855
1000-11,sophisticated-lkh,PAR10,ann_1_nng,4.0986
1000-11,sophisticated-lkh,PQR10,ann_1_nng,2.0155
1000-113,sophisticated-lkh,PAR10,ann_1_nng,42.4545
1000-113,sophisticated-lkh,PQR10,ann_1_nng,29.0465
1000-134,sophisticated-lkh,PAR10,ann_1_nng,177.3378
1000-134,sophisticated-lkh,PQR10,ann_1_nng,165.485
1000-138,sophisticated-lkh,PAR10,ann_1_nng,51.3945
1000-138,sophisticated-lkh,PQR10,ann_1_nng,32.7785
1000-145,sophisticated-lkh,PAR10,ann_1_nng,92.7909
1000-145,sophisticated-lkh,PQR10,ann_1_nng,66.814
1000-170,sophisticated-lkh,PAR10,ann_1_nng,19.8291
1000-170,sophisticated-lkh,PQR10,ann_1_nng,10.928
1000-178,sophisticated-lkh,PAR10,ann_1_nng,603.4528
1000-178,sophisticated-lkh,PQR10,ann_1_nng,344.347
1000-192,sophisticated-lkh,PAR10,ann_1_nng,101.71
1000-192,sophisticated-lkh,PQR10,ann_1_nng,74.5835
1000-197,sophisticated-lkh,PAR10,ann_1_nng,59.1252
1000-197,sophisticated-lkh,PQR10,ann_1_nng,52.453
1000-2,sophisticated-lkh,PAR10,ann_1_nng,1.4413
1000-2,sophisticated-lkh,PQR10,ann_1_nng,1.3825
1000-20,sophisticated-lkh,PAR10,ann_1_nng,31.3598
1000-20,sophisticated-lkh,PQR10,ann_1_nng,14.6815
1000-220,sophisticated-lkh,PAR10,ann_1_nng,107.7021
1000-220,sophisticated-lkh,PQR10,ann_1_nng,46.1925
1000-238,sophisticated-lkh,PAR10,ann_1_nng,6.0245
1000-238,sophisticated-lkh,PQR10,ann_1_nng,6.66
1000-246,sophisticated-lkh,PAR10,ann_1_nng,89.4018
1000-246,sophisticated-lkh,PQR10,ann_1_nng,37.724
1000-25,sophisticated-lkh,PAR10,ann_1_nng,2.0517
1000-25,sophisticated-lkh,PQR10,ann_1_nng,1.5895
