prob,group,measure,solver,performance
1000-102,sophisticated-eax,PAR10,ann_1_points,3.1704
1000-102,sophisticated-eax,PQR10,ann_1_points,3.1565
1000-109,sophisticated-eax,PAR10,ann_1_points,3.0778
1000-109,sophisticated-eax,PQR10,ann_1_points,3.0735
1000-137,sophisticated-eax,PAR10,ann_1_points,2.5652
1000-137,sophisticated-eax,PQR10,ann_1_points,2.6065
1000-156,sophisticated-eax,PAR10,ann_1_points,2.818
1000-156,sophisticated-eax,PQR10,ann_1_points,2.8665
1000-16,sophisticated-eax,PAR10,ann_1_points,2.7247
1000-16,sophisticated-eax,PQR10,ann_1_points,2.668
1000-165,sophisticated-eax,PAR10,ann_1_points,3.2828
1000-165,sophisticated-eax,PQR10,ann_1_points,3.32
1000-175,sophisticated-eax,PAR10,ann_1_points,4.9725
1000-175,sophisticated-eax,PQR10,ann_1_points,3.4945
1000-186,sophisticated-eax,PAR10,ann_1_points,3.7566
1000-186,sophisticated-eax,PQR10,ann_1_points,3.8185
1000-202,sophisticated-eax,PAR10,ann_1_points,4.6777
1000-202,sophisticated-eax,PQR10,ann_1_points,3.515
1000-219,sophisticated-eax,PAR10,ann_1_points,4.6586
1000-219,sophisticated-eax,PQR10,ann_1_points,3.688
1000-222,sophisticated-eax,PAR10,ann_1_points,5.9705
1000-222,sophisticated-eax,PQR10,ann_1_points,3.5615
1000-228,sophisticated-eax,PAR10,ann_1_points,3.5133
1000-228,sophisticated-eax,PQR10,ann_1_points,36.7555
1000-237,sophisticated-eax,PAR10,ann_1_points,3.8045
1000-237,sophisticated-eax,PQR10,ann_1_points,3.066
1000-24,sophisticated-eax,PAR10,ann_1_points,3.7865
1000-24,sophisticated-eax,PQR10,ann_1_points,3.485
1000-255,sophisticated-eax,PAR10,ann_1_points,4.1274
1000-255,sophisticated-eax,PQR10,ann_1_points,3.5845
1000-256,sophisticated-eax,PAR10,ann_1_points,3.7816
1000-256,sophisticated-eax,PQR10,ann_1_points,3.2025
1000-262,sophisticated-eax,PAR10,ann_1_points,2.9724
1000-262,sophisticated-eax,PQR10,ann_1_points,3.044
1000-278,sophisticated-eax,PAR10,ann_1_points,2.9044
1000-278,sophisticated-eax,PQR10,ann_1_points,2.9125
1000-28,sophisticated-eax,PAR10,ann_1_points,2.9438
1000-28,sophisticated-eax,PQR10,ann_1_points,2.963
1000-284,sophisticated-eax,PAR10,ann_1_points,3.2567
1000-284,sophisticated-eax,PQR10,ann_1_points,2.9325
1000-288,sophisticated-eax,PAR10,ann_1_points,4.3472
1000-288,sophisticated-eax,PQR10,ann_1_points,2.9825
1000-291,sophisticated-eax,PAR10,ann_1_points,2.9665
1000-291,sophisticated-eax,PQR10,ann_1_points,3.0555
1000-304,sophisticated-eax,PAR10,ann_1_points,5.7032
1000-304,sophisticated-eax,PQR10,ann_1_points,3.943
1000-312,sophisticated-eax,PAR10,ann_1_points,4.2206
1000-312,sophisticated-eax,PQR10,ann_1_points,3.2875
1000-314,sophisticated-eax,PAR10,ann_1_points,3.7579
1000-314,sophisticated-eax,PQR10,ann_1_points,3.2235
1000-315,sophisticated-eax,PAR10,ann_1_points,2.9858
1000-315,sophisticated-eax,PQR10,ann_1_points,2.984
1000-351,sophisticated-eax,PAR10,ann_1_points,3.585
1000-351,sophisticated-eax,PQR10,ann_1_points,3.1495
1000-373,sophisticated-eax,PAR10,ann_1_points,3.8342
1000-373,sophisticated-eax,PQR10,ann_1_points,3.3705
1000-405,sophisticated-eax,PAR10,ann_1_points,5.0365
1000-405,sophisticated-eax,PQR10,ann_1_points,3.9275
1000-426,sophisticated-eax,PAR10,ann_1_points,5.824
1000-426,sophisticated-eax,PQR10,ann_1_points,3.685
1000-435,sophisticated-eax,PAR10,ann_1_points,2.7527
1000-435,sophisticated-eax,PQR10,ann_1_points,2.7285
1000-439,sophisticated-eax,PAR10,ann_1_points,3.1631
1000-439,sophisticated-eax,PQR10,ann_1_points,3.1835
1000-441,sophisticated-eax,PAR10,ann_1_points,3.5922
1000-441,sophisticated-eax,PQR10,ann_1_points,3.2195
1000-443,sophisticated-eax,PAR10,ann_1_points,11.0209
1000-443,sophisticated-eax,PQR10,ann_1_points,7.4005
1000-457,sophisticated-eax,PAR10,ann_1_points,3.9926
1000-457,sophisticated-eax,PQR10,ann_1_points,3.3595
1000-497,sophisticated-eax,PAR10,ann_1_points,3.449
1000-497,sophisticated-eax,PQR10,ann_1_points,3.464
1000-59,sophisticated-eax,PAR10,ann_1_points,2.966
1000-59,sophisticated-eax,PQR10,ann_1_points,2.9675
1000-60,sophisticated-eax,PAR10,ann_1_points,4.5917
1000-60,sophisticated-eax,PQR10,ann_1_points,3.527
1000-61,sophisticated-eax,PAR10,ann_1_points,3.349
1000-61,sophisticated-eax,PQR10,ann_1_points,3.387
1000-70,sophisticated-eax,PAR10,ann_1_points,2.4498
1000-70,sophisticated-eax,PQR10,ann_1_points,2.439
1000-72,sophisticated-eax,PAR10,ann_1_points,2.8803
1000-72,sophisticated-eax,PQR10,ann_1_points,2.8745
1000-83,sophisticated-eax,PAR10,ann_1_points,2.5296
1000-83,sophisticated-eax,PQR10,ann_1_points,2.5555
1000-116,sophisticated-lkh,PAR10,ann_1_points,639.0805
1000-116,sophisticated-lkh,PQR10,ann_1_points,458.7745
1000-120,sophisticated-lkh,PAR10,ann_1_points,45.6247
1000-120,sophisticated-lkh,PQR10,ann_1_points,41.3615
1000-123,sophisticated-lkh,PAR10,ann_1_points,69.2672
1000-123,sophisticated-lkh,PQR10,ann_1_points,44.129
1000-135,sophisticated-lkh,PAR10,ann_1_points,150.5154
1000-135,sophisticated-lkh,PQR10,ann_1_points,106.629
1000-14,sophisticated-lkh,PAR10,ann_1_points,297.4809
1000-14,sophisticated-lkh,PQR10,ann_1_points,177.165
1000-149,sophisticated-lkh,PAR10,ann_1_points,89.793
1000-149,sophisticated-lkh,PQR10,ann_1_points,70.3785
1000-150,sophisticated-lkh,PAR10,ann_1_points,46.3031
1000-150,sophisticated-lkh,PQR10,ann_1_points,31.932
1000-153,sophisticated-lkh,PAR10,ann_1_points,44.0047
1000-153,sophisticated-lkh,PQR10,ann_1_points,22.897
1000-160,sophisticated-lkh,PAR10,ann_1_points,115.1339
1000-160,sophisticated-lkh,PQR10,ann_1_points,116.7955
1000-161,sophisticated-lkh,PAR10,ann_1_points,15.3995
1000-161,sophisticated-lkh,PQR10,ann_1_points,16.404
1000-174,sophisticated-lkh,PAR10,ann_1_points,619.1765
1000-174,sophisticated-lkh,PQR10,ann_1_points,445.3025
1000-176,sophisticated-lkh,PAR10,ann_1_points,39.8933
1000-176,sophisticated-lkh,PQR10,ann_1_points,2.3465
1000-179,sophisticated-lkh,PAR10,ann_1_points,44.975
1000-179,sophisticated-lkh,PQR10,ann_1_points,24.7655
1000-191,sophisticated-lkh,PAR10,ann_1_points,98.3874
1000-191,sophisticated-lkh,PQR10,ann_1_points,78.6855
1000-21,sophisticated-lkh,PAR10,ann_1_points,103.5067
1000-21,sophisticated-lkh,PQR10,ann_1_points,93.792
1000-217,sophisticated-lkh,PAR10,ann_1_points,65.4522
1000-217,sophisticated-lkh,PQR10,ann_1_points,43.1705
1000-22,sophisticated-lkh,PAR10,ann_1_points,472.907
1000-22,sophisticated-lkh,PQR10,ann_1_points,386.16
