prob,group,measure,solver,performance
1000-153,sophisticated-lkh,PQR10,ann_1_mst,3.5595
1000-160,sophisticated-lkh,PAR10,ann_1_mst,115.1339
1000-160,sophisticated-lkh,PQR10,ann_1_mst,116.7955
1000-161,sophisticated-lkh,PAR10,ann_1_mst,15.3995
1000-161,sophisticated-lkh,PQR10,ann_1_mst,16.404
1000-174,sophisticated-lkh,PAR10,ann_1_mst,1.5207
1000-174,sophisticated-lkh,PQR10,ann_1_mst,1.419
1000-176,sophisticated-lkh,PAR10,ann_1_mst,2.7792
1000-176,sophisticated-lkh,PQR10,ann_1_mst,2.3465
1000-179,sophisticated-lkh,PAR10,ann_1_mst,44.975
1000-179,sophisticated-lkh,PQR10,ann_1_mst,24.7655
1000-191,sophisticated-lkh,PAR10,ann_1_mst,4.5222
1000-191,sophisticated-lkh,PQR10,ann_1_mst,3.8245
1000-21,sophisticated-lkh,PAR10,ann_1_mst,4.9321
1000-21,sophisticated-lkh,PQR10,ann_1_mst,3.0105
1000-217,sophisticated-lkh,PAR10,ann_1_mst,65.4522
1000-217,sophisticated-lkh,PQR10,ann_1_mst,43.1705
1000-22,sophisticated-lkh,PAR10,ann_1_mst,5.2371
1000-22,sophisticated-lkh,PQR10,ann_1_mst,4.6945
1000-223,sophisticated-lkh,PAR10,ann_1_mst,55.2728
1000-223,sophisticated-lkh,PQR10,ann_1_mst,33.401
1000-230,sophisticated-lkh,PAR10,ann_1_mst,10.7294
1000-230,sophisticated-lkh,PQR10,ann_1_mst,9.561
1000-231,sophisticated-lkh,PAR10,ann_1_mst,17.9455
1000-231,sophisticated-lkh,PQR10,ann_1_mst,12.2805
1000-241,sophisticated-lkh,PAR10,ann_1_mst,3.0942
1000-241,sophisticated-lkh,PQR10,ann_1_mst,2.075
1000-253,sophisticated-lkh,PAR10,ann_1_mst,4.19
1000-253,sophisticated-lkh,PQR10,ann_1_mst,2.0615
1000-27,sophisticated-lkh,PAR10,ann_1_mst,2.5996
1000-27,sophisticated-lkh,PQR10,ann_1_mst,2.2425
1000-270,sophisticated-lkh,PAR10,ann_1_mst,2.0603
1000-270,sophisticated-lkh,PQR10,ann_1_mst,1.851
1000-272,sophisticated-lkh,PAR10,ann_1_mst,6.8968
1000-272,sophisticated-lkh,PQR10,ann_1_mst,5.694
1000-273,sophisticated-lkh,PAR10,ann_1_mst,100.1518
1000-273,sophisticated-lkh,PQR10,ann_1_mst,49.197
1000-297,sophisticated-lkh,PAR10,ann_1_mst,2.2809
1000-297,sophisticated-lkh,PQR10,ann_1_mst,1.8255
1000-313,sophisticated-lkh,PAR10,ann_1_mst,72.3989
1000-313,sophisticated-lkh,PQR10,ann_1_mst,41.7815
1000-314,sophisticated-lkh,PAR10,ann_1_mst,67.7021
1000-314,sophisticated-lkh,PQR10,ann_1_mst,53.72
1000-318,sophisticated-lkh,PAR10,ann_1_mst,78.9916
1000-318,sophisticated-lkh,PQR10,ann_1_mst,26.136
1000-326,sophisticated-lkh,PAR10,ann_1_mst,33.4963
1000-326,sophisticated-lkh,PQR10,ann_1_mst,33.5195
1000-327,sophisticated-lkh,PAR10,ann_1_mst,3.5563
1000-327,sophisticated-lkh,PQR10,ann_1_mst,3.5365
1000-338,sophisticated-lkh,PAR10,ann_1_mst,218.26
1000-338,sophisticated-lkh,PQR10,ann_1_mst,186.062
1000-342,sophisticated-lkh,PAR10,ann_1_mst,602.3605
1000-342,sophisticated-lkh,PQR10,ann_1_mst,513.5255
1000-349,sophisticated-lkh,PAR10,ann_1_mst,79.9209
1000-349,sophisticated-lkh,PQR10,ann_1_mst,55.376
1000-355,sophisticated-lkh,PAR10,ann_1_mst,55.8181
1000-355,sophisticated-lkh,PQR10,ann_1_mst,41.42
1000-356,sophisticated-lkh,PAR10,ann_1_mst,35.1988
1000-356,sophisticated-lkh,PQR10,ann_1_mst,31.097
1000-37,sophisticated-lkh,PAR10,ann_1_mst,79.6529
1000-37,sophisticated-lkh,PQR10,ann_1_mst,56.4385
1000-372,sophisticated-lkh,PAR10,ann_1_mst,170.0676
