prob,group,measure,solver,performance
1000-10,sophisticated-eax,PAR10,ann_1_nng,3.4272
1000-10,sophisticated-eax,PQR10,ann_1_nng,3.463
1000-100,sophisticated-eax,PAR10,ann_1_nng,3.4749
1000-100,sophisticated-eax,PQR10,ann_1_nng,3.104
1000-108,sophisticated-eax,PAR10,ann_1_nng,3.0812
1000-108,sophisticated-eax,PQR10,ann_1_nng,3.108
1000-13,sophisticated-eax,PAR10,ann_1_nng,5.3471
1000-13,sophisticated-eax,PQR10,ann_1_nng,3.393
1000-135,sophisticated-eax,PAR10,ann_1_nng,3.9559
1000-135,sophisticated-eax,PQR10,ann_1_nng,3.4015
1000-141,sophisticated-eax,PAR10,ann_1_nng,2.9708
1000-141,sophisticated-eax,PQR10,ann_1_nng,3.0595
1000-142,sophisticated-eax,PAR10,ann_1_nng,4.7706
1000-142,sophisticated-eax,PQR10,ann_1_nng,3.4985
1000-144,sophisticated-eax,PAR10,ann_1_nng,3.3309
1000-144,sophisticated-eax,PQR10,ann_1_nng,3.345
1000-149,sophisticated-eax,PAR10,ann_1_nng,3.6283
1000-149,sophisticated-eax,PQR10,ann_1_nng,3.1455
1000-162,sophisticated-eax,PAR10,ann_1_nng,4.3355
1000-162,sophisticated-eax,PQR10,ann_1_nng,3.3415
1000-167,sophisticated-eax,PAR10,ann_1_nng,3.8674
1000-167,sophisticated-eax,PQR10,ann_1_nng,3.346
1000-171,sophisticated-eax,PAR10,ann_1_nng,2.7743
1000-171,sophisticated-eax,PQR10,ann_1_nng,2.7915
1000-172,sophisticated-eax,PAR10,ann_1_nng,4.2027
1000-172,sophisticated-eax,PQR10,ann_1_nng,3.627
1000-18,sophisticated-eax,PAR10,ann_1_nng,3.9409
1000-18,sophisticated-eax,PQR10,ann_1_nng,3.2765
1000-181,sophisticated-eax,PAR10,ann_1_nng,3.0209
1000-181,sophisticated-eax,PQR10,ann_1_nng,3.0255
1000-182,sophisticated-eax,PAR10,ann_1_nng,5.6274
1000-182,sophisticated-eax,PQR10,ann_1_nng,4.991
1000-196,sophisticated-eax,PAR10,ann_1_nng,3.0218
1000-196,sophisticated-eax,PQR10,ann_1_nng,3.0905
1000-2,sophisticated-eax,PAR10,ann_1_nng,3.3405
1000-2,sophisticated-eax,PQR10,ann_1_nng,3.309
1000-217,sophisticated-eax,PAR10,ann_1_nng,2.8973
1000-217,sophisticated-eax,PQR10,ann_1_nng,3.027
1000-218,sophisticated-eax,PAR10,ann_1_nng,2.8172
1000-218,sophisticated-eax,PQR10,ann_1_nng,2.883
1000-220,sophisticated-eax,PAR10,ann_1_nng,3.9158
1000-220,sophisticated-eax,PQR10,ann_1_nng,3.4515
1000-236,sophisticated-eax,PAR10,ann_1_nng,5.4721
1000-236,sophisticated-eax,PQR10,ann_1_nng,3.3705
1000-239,sophisticated-eax,PAR10,ann_1_nng,4.3682
