prob,group,measure,solver,performance
1000-11,sophisticated-eax,PAR10,ann_1_nng,3.0673
1000-11,sophisticated-eax,PQR10,ann_1_nng,3.126
1000-111,sophisticated-eax,PAR10,ann_1_nng,2.6799
1000-111,sophisticated-eax,PQR10,ann_1_nng,2.6385
1000-134,sophisticated-eax,PAR10,ann_1_nng,201.0116
1000-134,sophisticated-eax,PQR10,ann_1_nng,156.357
1000-15,sophisticated-eax,PAR10,ann_1_nng,2.6359
1000-15,sophisticated-eax,PQR10,ann_1_nng,2.652
1000-152,sophisticated-eax,PAR10,ann_1_nng,3.3161
1000-152,sophisticated-eax,PQR10,ann_1_nng,3.3285
1000-154,sophisticated-eax,PAR10,ann_1_nng,4.3316
1000-154,sophisticated-eax,PQR10,ann_1_nng,3.45
1000-157,sophisticated-eax,PAR10,ann_1_nng,5.4242
1000-157,sophisticated-eax,PQR10,ann_1_nng,3.6115
1000-160,sophisticated-eax,PAR10,ann_1_nng,4.2486
1000-160,sophisticated-eax,PQR10,ann_1_nng,3.099
1000-183,sophisticated-eax,PAR10,ann_1_nng,4.1379
1000-183,sophisticated-eax,PQR10,ann_1_nng,3.3465
1000-188,sophisticated-eax,PAR10,ann_1_nng,3.3211
1000-188,sophisticated-eax,PQR10,ann_1_nng,3.2055
1000-201,sophisticated-eax,PAR10,ann_1_nng,4.1076
1000-201,sophisticated-eax,PQR10,ann_1_nng,2.5945
1000-205,sophisticated-eax,PAR10,ann_1_nng,3.2042
1000-205,sophisticated-eax,PQR10,ann_1_nng,2.8405
1000-211,sophisticated-eax,PAR10,ann_1_nng,3.1857
1000-211,sophisticated-eax,PQR10,ann_1_nng,3.2655
1000-223,sophisticated-eax,PAR10,ann_1_nng,5.485
1000-223,sophisticated-eax,PQR10,ann_1_nng,3.412
1000-234,sophisticated-eax,PAR10,ann_1_nng,4.0075
1000-234,sophisticated-eax,PQR10,ann_1_nng,3.399
1000-257,sophisticated-eax,PAR10,ann_1_nng,3.5208
1000-257,sophisticated-eax,PQR10,ann_1_nng,3.313
1000-264,sophisticated-eax,PAR10,ann_1_nng,2.7009
1000-264,sophisticated-eax,PQR10,ann_1_nng,2.7455
1000-295,sophisticated-eax,PAR10,ann_1_nng,3.3283
1000-295,sophisticated-eax,PQR10,ann_1_nng,3.346
1000-300,sophisticated-eax,PAR10,ann_1_nng,3.5084
1000-300,sophisticated-eax,PQR10,ann_1_nng,3.4515
